iter	Passed	Remaining
400	14687	21940
401	14730	21912
402	14753	21854
403	14782	21808
404	14829	21785
405	14869	21754
406	14919	21737
407	14966	21716
408	15049	21746
409	15084	21707
410	15114	21660
411	15151	21624
412	15184	21582
413	15224	21549
414	15251	21498
415	15282	21454
416	15312	21408
417	15335	21352
418	15366	21307
419	15398	21264
420	15429	21220
421	15451	21163
422	15495	21137
423	15531	21099
424	15563	21056
425	15614	21038
426	15645	20995
427	15688	20967
428	15729	20936
429	15767	20900
430	15799	20858
431	15838	20825
432	15866	20776
433	15898	20733
434	15930	20691
435	15969	20657
436	15996	20608
437	16028	20565
438	16097	20571
439	16161	20569
440	16210	20548
441	16234	20495
442	16264	20449
443	16296	20407
444	16327	20363
445	16357	20318
446	16397	20286
447	16430	20244
448	16460	20200
449	16488	20152
450	16526	20117
451	16563	20081
452	16593	20036
453	16627	19996
454	16689	19991
455	16727	19955
456	16780	19938
457	16824	19909
458	16847	19856
459	16877	19812
460	16913	19775
461	16959	19749
462	17009	19728
463	17057	19704
464	17091	19664
465	17129	19629
466	17192	19622
467	17263	19624
468	17311	19599
469	17342	19556
470	17372	19511
471	17407	19472
472	17429	19419
473	17460	19376
474	17507	19350
475	17542	19311
476	17589	19285
477	17626	19248
478	17657	19205
479	17692	19167
480	17723	19123
481	17757	19084
482	17780	19032
483	17825	19004
484	17857	18961
485	17908	18940
486	17939	18896
487	17973	18857
488	18008	18818
489	18039	18775
490	18063	18725
491	18125	18714
492	18157	18672
493	18189	18631
494	18223	18591
495	18254	18549
496	18287	18508
497	18320	18467
498	18357	18431
499	18409	18409
500	18440	18367
501	18470	18323
502	18515	18294
503	18542	18247
504	18572	18204
505	18606	18165
506	18641	18127
507	18674	18085
508	18705	18044
509	18736	18001
510	18773	17965
511	18804	17923
512	18842	17887
513	18873	17845
514	18909	17808
515	18951	17776
516	18975	17727
517	19012	17690
518	19065	17669
519	19104	17635
520	19135	17593
521	19169	17553
522	19205	17516
523	19239	17477
524	19278	17442
525	19304	17396
526	19334	17353
527	19366	17312
528	19402	17274
529	19437	17236
530	19471	17198
531	19521	17172
532	19564	17141
533	19600	17104
534	19635	17066
535	19673	17030
536	19720	17002
537	19751	16961
538	19782	16919
539	19817	16881
540	19881	16867
541	19929	16841
542	19953	16793
543	19983	16750
544	20030	16722
545	20053	16674
546	20100	16646
547	20146	16617
548	20194	16589
549	20253	16570
550	20283	16528
551	20314	16487
552	20346	16446
553	20377	16405
554	20400	16357
555	20430	16315
556	20467	16278
557	20496	16235
558	20543	16206
559	20582	16172
560	20661	16168
561	20686	16121
562	20713	16078
563	20744	16036
564	20787	16004
565	20828	15970
566	20870	15938
567	20897	15893
568	20934	15857
569	20975	15823
570	20998	15776
571	21028	15734
572	21098	15722
573	21171	15712
574	21202	15671
575	21242	15636
576	21307	15620
577	21342	15582
578	21373	15541
579	21407	15502
580	21439	15461
581	21475	15423
582	21506	15383
583	21529	15335
584	21557	15293
585	21595	15256
586	21639	15225
587	21673	15186
588	21706	15146
589	21757	15119
590	21789	15079
591	21833	15047
592	21872	15012
593	21906	14972
594	21941	14935
595	21974	14895
596	22005	14854
597	22036	14813
598	22059	14767
599	22102	14735
600	22139	14698
601	22201	14677
602	22224	14632
603	22256	14591
604	22287	14551
605	22324	14514
606	22400	14502
607	22434	14464
608	22457	14418
609	22488	14377
610	22519	14337
611	22552	14297
612	22587	14259
613	22618	14219
614	22666	14189
615	22720	14163
616	22751	14123
617	22784	14083
618	22857	14069
619	22903	14037
620	22936	13998
621	22966	13957
622	22990	13912
623	23021	13871
624	23067	13840
625	23130	13819
626	23168	13782
627	23221	13755
628	23280	13731
629	23303	13686
630	23349	13654
631	23382	13615
632	23414	13575
633	23438	13530
634	23468	13489
635	23504	13452
636	23532	13410
637	23562	13369
638	23592	13328
639	23631	13292
640	23675	13259
641	23714	13223
642	23745	13183
643	23804	13159
644	23831	13116
645	23862	13076
646	23928	13055
647	23982	13027
648	24012	12986
649	24094	12973
650	24135	12938
651	24181	12906
652	24258	12890
653	24303	12857
654	24330	12815
655	24398	12794
656	24431	12754
657	24478	12722
658	24510	12682
659	24534	12638
660	24569	12600
661	24596	12558
662	24628	12518
663	24658	12477
664	24689	12437
665	24712	12393
666	24757	12360
667	24790	12320
668	24829	12284
669	24858	12243
670	24889	12203
671	24913	12160
672	24942	12119
673	24974	12079
674	25007	12040
675	25053	12007
676	25091	11971
677	25122	11931
678	25154	11891
679	25178	11848
680	25206	11807
681	25238	11768
682	25303	11743
683	25351	11712
684	25387	11674
685	25419	11634
686	25456	11598
687	25493	11561
688	25536	11526
689	25572	11488
690	25607	11451
691	25637	11411
692	25685	11378
693	25708	11335
694	25737	11294
695	25773	11257
696	25805	11218
697	25837	11178
698	25868	11139
699	25905	11102
700	25935	11062
701	25970	11024
702	26002	10985
703	26052	10953
704	26084	10914
705	26122	10878
706	26169	10845
707	26204	10807
708	26237	10768
709	26267	10729
710	26300	10690
711	26333	10651
712	26364	10612
713	26400	10574
714	26435	10537
715	26465	10497
716	26493	10456
717	26520	10416
718	26552	10377
719	26586	10339
720	26619	10300
721	26650	10261
722	26682	10222
723	26730	10190
724	26754	10148
725	26785	10109
726	26818	10070
727	26869	10039
728	26899	9999
729	26923	9957
730	26952	9918
731	27001	9885
732	27042	9850
733	27084	9815
734	27138	9784
735	27169	9745
736	27210	9710
737	27282	9685
738	27364	9664
739	27416	9632
740	27467	9600
741	27500	9562
742	27533	9523
743	27567	9485
744	27600	9447
745	27637	9409
746	27667	9370
747	27698	9331
748	27733	9293
749	27780	9260
750	27812	9221
751	27848	9184
752	27896	9150
753	27930	9112
754	27962	9073
755	27993	9035
756	28023	8995
757	28047	8954
758	28121	8929
759	28174	8897
760	28205	8858
761	28257	8825
762	28328	8799
763	28374	8764
764	28411	8727
765	28457	8693
766	28479	8651
767	28509	8612
768	28540	8573
769	28562	8531
770	28607	8496
771	28639	8458
772	28727	8436
773	28773	8401
774	28810	8364
775	28845	8326
776	28907	8296
777	28944	8259
778	28977	8220
779	29008	8181
780	29040	8143
781	29071	8104
782	29110	8067
783	29157	8033
784	29214	8001
785	29242	7961
786	29291	7927
787	29322	7888
788	29370	7854
789	29442	7826
790	29484	7790
791	29541	7758
792	29577	7720
793	29634	7688
794	29671	7651
795	29701	7611
796	29725	7571
797	29754	7531
798	29785	7492
799	29809	7452
800	29848	7415
801	29881	7377
802	29918	7339
803	29949	7301
804	29998	7266
805	30029	7227
806	30053	7187
807	30097	7151
808	30146	7117
809	30176	7078
810	30198	7037
811	30230	6999
812	30271	6962
813	30313	6926
814	30344	6887
815	30375	6849
816	30398	6808
817	30443	6773
818	30468	6733
819	30496	6694
820	30528	6656
821	30577	6621
822	30610	6583
823	30665	6549
824	30708	6513
825	30731	6473
826	30761	6435
827	30798	6397
828	30827	6358
829	30858	6320
830	30907	6285
831	30941	6247
832	30965	6207
833	31009	6172
834	31047	6135
835	31082	6097
836	31113	6059
837	31144	6020
838	31191	5985
839	31222	5947
840	31248	5907
841	31289	5871
842	31323	5833
843	31354	5795
844	31376	5755
845	31406	5717
846	31461	5683
847	31505	5647
848	31539	5609
849	31571	5571
850	31624	5537
851	31659	5499
852	31738	5469
853	31772	5431
854	31839	5399
855	31872	5361
856	31905	5323
857	31952	5288
858	31988	5250
859	32021	5212
860	32057	5175
861	32087	5136
862	32110	5097
863	32140	5059
864	32169	5020
865	32202	4982
866	32230	4944
867	32269	4907
868	32328	4873
869	32371	4837
870	32401	4798
871	32438	4761
872	32468	4723
873	32504	4685
874	32537	4648
875	32567	4610
876	32590	4570
877	32618	4532
878	32653	4494
879	32684	4456
880	32718	4419
881	32781	4385
882	32818	4348
883	32849	4310
884	32873	4271
885	32902	4233
886	32936	4195
887	32966	4157
888	33021	4123
889	33065	4086
890	33096	4048
891	33120	4010
892	33151	3972
893	33187	3934
894	33216	3896
895	33250	3859
896	33295	3823
897	33337	3786
898	33381	3750
899	33412	3712
900	33447	3675
901	33488	3638
902	33527	3601
903	33578	3565
904	33612	3528
905	33644	3490
906	33680	3453
907	33712	3415
908	33750	3378
909	33778	3340
910	33819	3303
911	33860	3267
912	33894	3229
913	33928	3192
914	33963	3155
915	33994	3117
916	34037	3080
917	34064	3042
918	34107	3006
919	34143	2968
920	34210	2934
921	34243	2896
922	34292	2860
923	34355	2825
924	34392	2788
925	34427	2751
926	34467	2714
927	34510	2677
928	34557	2641
929	34611	2605
930	34643	2567
931	34673	2529
932	34701	2491
933	34724	2453
934	34756	2416
935	34794	2379
936	34837	2342
937	34880	2305
938	34922	2268
939	34971	2232
940	35016	2195
941	35053	2158
942	35082	2120
943	35117	2083
944	35141	2045
945	35198	2009
946	35221	1971
947	35254	1933
948	35286	1896
949	35317	1858
950	35355	1821
951	35388	1784
952	35418	1746
953	35469	1710
954	35501	1672
955	35532	1635
956	35555	1597
957	35587	1560
958	35665	1524
959	35703	1487
960	35735	1450
961	35775	1413
962	35816	1376
963	35845	1338
964	35883	1301
965	35913	1264
966	35936	1226
967	35967	1189
968	36015	1152
969	36044	1114
970	36082	1077
971	36116	1040
972	36152	1003
973	36196	966
974	36218	928
975	36257	891
976	36295	854
977	36328	817
978	36363	780
979	36398	742
980	36428	705
981	36450	668
982	36493	631
983	36517	593
984	36547	556
985	36577	519
986	36600	482
987	36644	445
988	36681	407
989	36713	370
990	36769	333
991	36799	296
992	36842	259
993	36865	222
994	36897	185
995	36929	148
996	36960	111
997	36997	74
998	37043	37
999	37076	0
