iter	MultiClass
182	0.2183547773
183	0.2173970143
184	0.2160271313
185	0.2143710832
186	0.2127367335
187	0.2111236985
188	0.210047854
189	0.2084692724
190	0.2075879744
191	0.2060408876
192	0.204730886
193	0.2034361269
194	0.2028072934
195	0.2013208719
196	0.1998532011
197	0.1988729899
198	0.1980640057
199	0.1972650985
200	0.1958474776
201	0.1948995541
202	0.1939599893
203	0.1925826394
204	0.1912222119
205	0.1904720556
206	0.1895685247
207	0.1882443977
208	0.1871732948
209	0.1864533367
210	0.1856996849
211	0.1846010787
212	0.1833359596
213	0.1826458382
214	0.1814038079
215	0.1803999445
216	0.1794061672
217	0.1784223345
218	0.1774483073
219	0.1767997727
220	0.1756252177
221	0.1751524477
222	0.1739968371
223	0.1728545704
224	0.1722399493
225	0.1714790361
226	0.17098985
227	0.1700858611
228	0.1689873865
229	0.1680512313
230	0.1669758248
231	0.1659125173
232	0.1653420645
233	0.1642968405
234	0.1632632512
235	0.1624292109
236	0.1618459148
237	0.1613035816
238	0.1607670109
239	0.159906831
240	0.1593800813
241	0.1583995006
242	0.1578837215
243	0.1573352835
244	0.1563763741
245	0.155875653
246	0.1554689581
247	0.1545296742
248	0.1536004487
249	0.1526811328
250	0.1520628638
251	0.151281249
252	0.1503864042
253	0.1495009659
254	0.1486247972
255	0.1477577634
256	0.1468997326
257	0.1463227564
258	0.1455939098
259	0.1449125985
260	0.1447215136
261	0.1440478243
262	0.1437251133
263	0.1429078849
264	0.1420989571
265	0.1412982125
266	0.1408795154
267	0.1404648131
268	0.1396801417
269	0.1389033164
270	0.138500336
271	0.1381011382
272	0.1374415147
273	0.1366865873
274	0.1360395406
275	0.1352984432
276	0.1346636374
277	0.1339360119
278	0.1336570836
279	0.1329390919
280	0.1323243619
281	0.1319078594
282	0.1313358082
283	0.130639984
284	0.1302794392
285	0.1295935246
286	0.1291316605
287	0.1286730008
288	0.1280934627
289	0.1275189928
290	0.1269806191
291	0.1263256009
292	0.12579642
293	0.125152318
294	0.1248177991
295	0.1243441779
296	0.1237998118
297	0.1231741285
298	0.1225541695
299	0.122205821
300	0.121594519
301	0.1211834762
302	0.1205813715
303	0.1202685128
304	0.1196745154
305	0.1191664466
306	0.1188607977
307	0.1185325893
308	0.1179538487
309	0.1173802437
310	0.1170843503
311	0.1167908915
312	0.1164079038
313	0.1159513829
314	0.1154982729
315	0.1149457843
316	0.1145740721
317	0.1140295796
318	0.1134898051
319	0.1129546908
320	0.1125947842
321	0.1120673143
322	0.1117959107
323	0.1112751502
324	0.1110080709
325	0.110812623
326	0.1103000123
327	0.1097917369
328	0.1094387655
329	0.1092484119
330	0.1087489361
331	0.1083208577
332	0.1078291602
333	0.10734155
334	0.106857979
335	0.1063783999
336	0.1059676701
337	0.1057021926
338	0.1052320102
339	0.104765665
340	0.1043031125
341	0.1038443093
342	0.1036713545
343	0.1034168482
344	0.1031844385
345	0.1029332198
346	0.1027039999
347	0.1022575657
348	0.1020317487
349	0.1016498501
350	0.10121175
351	0.1008357344
352	0.1004840363
353	0.1000551308
354	0.09962959818
355	0.0992645194
356	0.09903092185
357	0.09861332243
358	0.09819897086
359	0.09778783126
360	0.09737986826
361	0.09717307503
362	0.09696773704
363	0.09656589618
364	0.09616713148
365	0.09577140946
366	0.09560638945
367	0.09546044886
368	0.09528971294
369	0.09497275949
370	0.0947770475
371	0.09439152147
372	0.09400889811
373	0.09375076537
374	0.09337292411
375	0.09318342188
376	0.0928097264
377	0.0925078746
378	0.09213914907
379	0.09195464175
380	0.09177136936
381	0.09140790912
382	0.09111446545
383	0.09080353459
384	0.09044714978
385	0.09015939226
386	0.08980765445
387	0.08950510566
388	0.08915812694
389	0.08898479858
390	0.0886414874
391	0.0883006393
392	0.08796222905
393	0.08768886168
394	0.08735476995
395	0.08718808157
396	0.08696331421
397	0.08663426809
398	0.08630754106
399	0.08598310978
400	0.08566095116
401	0.08547042673
402	0.08515183539
403	0.08483545853
404	0.08467730207
405	0.08436414156
406	0.0840531421
407	0.08380190711
408	0.08359326967
409	0.08328751498
410	0.08298384899
411	0.08272273223
412	0.08242292688
413	0.08225845657
414	0.08196172844
415	0.08170660569
416	0.08141361286
417	0.08112258498
418	0.08083350316
419	0.08054634874
420	0.08038870479
421	0.08015751734
422	0.07996568744
423	0.07972211574
424	0.07944223632
425	0.07928877605
426	0.0790116859
427	0.07873641059
428	0.07858570324
429	0.07840093711
430	0.07826410077
431	0.07811557476
432	0.07784595133
433	0.07757807426
434	0.07731192728
435	0.07716691503
436	0.07703466933
437	0.076891125
438	0.07674837722
439	0.07660641953
440	0.07634622819
441	0.07608769808
442	0.07583081394
443	0.07560944375
444	0.07535560895
445	0.07521839497
446	0.07496697379
447	0.07471713403
448	0.07451584098
449	0.07426880194
450	0.0741024495
451	0.07390432276
452	0.07366105828
453	0.07341930235
454	0.07317904149
455	0.07297208061
456	0.07273458978
457	0.07253010532
458	0.07229533757
459	0.07216814791
460	0.07196664995
461	0.07184067766
462	0.0716100269
463	0.07138077344
464	0.07118341533
465	0.07095675039
466	0.0708643443
467	0.0706395648
468	0.07041613164
469	0.07030467213
470	0.07011287548
471	0.06993418972
472	0.06971490688
473	0.0694969234
474	0.06935032543
475	0.06926195635
476	0.06904660866
477	0.0689018727
478	0.06868863238
479	0.06858216385
480	0.06837075295
481	0.0681605751
482	0.06795161989
483	0.06778320277
484	0.06757641521
485	0.06740977967
486	0.06729862658
487	0.06709457401
488	0.06689169346
489	0.06668997519
490	0.06648940959
491	0.06631680545
492	0.06621713673
493	0.06601923565
494	0.06582245587
495	0.06562678822
496	0.0654690854
497	0.06527538996
498	0.06517873463
499	0.06498663163
500	0.06479560298
501	0.06470043163
502	0.06451096289
503	0.06432254741
504	0.0641351767
505	0.06404194011
506	0.06391622187
507	0.06382372373
508	0.06373167932
509	0.06354745828
510	0.06342349907
511	0.06324096396
512	0.06311818555
513	0.0629615335
514	0.06280568435
515	0.06265063186
516	0.06249636986
517	0.06234289226
518	0.06216627773
519	0.06199061471
520	0.06181589576
521	0.06164211353
522	0.06146926072
523	0.06129733014
524	0.06121149058
525	0.06104090072
526	0.06087121575
527	0.06072531423
528	0.06058895767
529	0.06050502739
530	0.06033813668
531	0.06022594724
532	0.06006051698
533	0.05991829128
534	0.05982910489
535	0.05971876204
536	0.05960884714
537	0.05944660746
538	0.05930717537
539	0.05917684806
540	0.05908980633
541	0.05896044609
542	0.05880151389
543	0.05864339886
544	0.05856442953
545	0.05840750303
546	0.05825137887
547	0.0581254807
548	0.05802113378
549	0.05795843309
550	0.05787504465
551	0.05774237731
552	0.05758958115
553	0.05743755715
554	0.05730686858
555	0.05718485954
556	0.05713000792
557	0.05705497152
558	0.05693398926
559	0.05685353384
560	0.0567252221
561	0.05659751204
562	0.05645039162
563	0.05637121692
564	0.05622519588
565	0.05607989815
566	0.05595496676
567	0.05581101082
568	0.05569499837
569	0.05557947092
570	0.05543733689
571	0.05536087769
572	0.0552389577
573	0.05512525232
574	0.05505515948
575	0.05493448918
576	0.05484089216
577	0.05472876181
578	0.05471542601
579	0.0545774371
580	0.0544401147
581	0.05432954239
582	0.05425607585
583	0.05418815428
584	0.05412052216
585	0.05398531925
586	0.05385076371
587	0.05380215184
588	0.05366845623
589	0.05361493928
590	0.05350756141
591	0.05337524213
592	0.05332235362
593	0.05320867922
594	0.05310286247
595	0.05299010669
596	0.05292538142
597	0.05279578099
598	0.05266678954
599	0.05259788756
600	0.05254659033
601	0.05244329785
602	0.05231591106
603	0.05218911837
604	0.05207998842
605	0.05197843654
606	0.05185320827
607	0.05172855946
608	0.05160448621
609	0.05149773615
610	0.05137473175
611	0.05131368331
612	0.05120808047
613	0.05114280519
614	0.05102139412
615	0.0509237332
616	0.05081964812
617	0.05069970585
618	0.0505965426
619	0.05051661951
620	0.05045745837
621	0.05043219808
622	0.05038940946
623	0.05027138254
624	0.05019242546
625	0.05007528233
626	0.04998105108
627	0.04992318081
628	0.04980721823
629	0.04969177394
630	0.04961455752
631	0.04949996909
632	0.04944317938
633	0.04932933492
634	0.04928841344
635	0.04919062334
636	0.04907789086
637	0.04896565578
638	0.04885391489
639	0.048764002
640	0.04866824295
641	0.048572878
642	0.04847790465
643	0.04836830758
644	0.04825918773
645	0.04815054207
646	0.04804236758
647	0.04797003597
648	0.04787738635
649	0.04780556618
650	0.04771356899
651	0.04762194292
652	0.0475306857
653	0.04747779824
654	0.04737251928
655	0.04728769212
656	0.04718321781
657	0.047093561
658	0.04700426145
659	0.046915317
660	0.04684631943
661	0.04674372995
662	0.04665577744
663	0.04656817197
664	0.04646676359
665	0.04636578103
666	0.04627926051
667	0.04617906728
668	0.04609324979
669	0.04599383666
670	0.04589483708
671	0.04579624854
672	0.04569806854
673	0.04560029459
674	0.04551659008
675	0.0454195685
676	0.04532294595
677	0.04527428306
678	0.04517824402
679	0.04508259815
680	0.04498734309
681	0.04489247651
682	0.0448411769
683	0.04474689276
684	0.04467075872
685	0.04457716013
686	0.04450159162
687	0.04443931983
688	0.04436422238
689	0.04428938313
690	0.04422771567
691	0.04414877305
692	0.04407464329
693	0.04398342167
694	0.04389256487
695	0.04381926776
696	0.04372906018
697	0.04363921152
698	0.04354971969
699	0.04346058259
700	0.04338866795
701	0.04330016221
702	0.04321200553
703	0.04312419588
704	0.04307984725
705	0.0430091432
706	0.0429221136
707	0.04283542461
708	0.04276120937
709	0.04267515176
710	0.04258942918
711	0.0425040397
712	0.04241898143
713	0.04235033717
714	0.04227776605
715	0.04219358073
716	0.0421097198
717	0.04202618141
718	0.04194296375
719	0.041860065
720	0.04177748338
721	0.0416952171
722	0.0416132644
723	0.04154709162
724	0.04146569746
725	0.04138461204
726	0.04130383362
727	0.04124999242
728	0.04116972084
729	0.04108975178
730	0.04101008353
731	0.04093071446
732	0.0408666177
733	0.04078778162
734	0.04073525228
735	0.04065690521
736	0.04057885009
737	0.04051211685
738	0.04043460259
739	0.04035737571
740	0.04028043462
741	0.04020377779
742	0.04012740367
743	0.04005131073
744	0.03997549744
745	0.0398999623
746	0.03983541849
747	0.03976039853
748	0.03968565244
749	0.03963585872
750	0.03956156476
751	0.03949811059
752	0.03943823905
753	0.03936466078
754	0.03929134868
755	0.03921830134
756	0.03914551736
757	0.03907299534
758	0.03900073389
759	0.03895261309
760	0.03888078181
761	0.03880920747
762	0.03877010489
763	0.03869891792
764	0.03864137
765	0.03858399727
766	0.03851346512
767	0.03844318317
768	0.03837315012
769	0.0383133513
770	0.03826688256
771	0.03819747289
772	0.03814136658
773	0.03808542905
774	0.03802965954
775	0.03800420549
776	0.03794551053
777	0.03787721562
778	0.03780915937
779	0.03774134057
780	0.03767375799
781	0.03761607527
782	0.03756161049
783	0.03751692513
784	0.03745972093
785	0.03739311455
786	0.0373267382
787	0.03726059072
788	0.03720416514
789	0.03714792002
790	0.03708239114
791	0.03702651986
792	0.03697367502
793	0.03693037253
794	0.03688717871
795	0.0368225374
796	0.0367581162
797	0.03669391401
798	0.03662992974
799	0.03656616229
800	0.03651182032
801	0.03644845399
802	0.03639719443
803	0.03633421149
804	0.0362923774
805	0.03622974562
806	0.03616732396
807	0.03610511138
808	0.03605211528
809	0.03599028942
810	0.03592866971
811	0.03587619317
812	0.0358238786
813	0.03577172523
814	0.03571083651
815	0.03565014933
816	0.03558966269
817	0.03554950333
818	0.03548934744
819	0.03543816165
820	0.03537837348
821	0.03532995773
822	0.03527052172
823	0.03523107543
824	0.0351719617
825	0.03511304093
826	0.03505431217
827	0.03500435921
828	0.03494598533
829	0.03489870785
830	0.03484919313
831	0.03479982691
832	0.03474211567
833	0.03469536664
834	0.03463798978
835	0.03458079758
836	0.03453447288
837	0.03447761064
838	0.03442927022
839	0.03437274628
840	0.03431640297
841	0.03427076022
842	0.03421473971
843	0.03415889749
844	0.03411366441
845	0.03406631872
846	0.03402949072
847	0.03397423398
848	0.03391915196
849	0.03387234849
850	0.03382784609
851	0.0337732246
852	0.03374298226
853	0.03369882195
854	0.03366277747
855	0.03360866625
856	0.03355472446
857	0.03351898609
858	0.03346532352
859	0.03342187477
860	0.03337854217
861	0.03332531258
862	0.03327224839
863	0.03321934885
864	0.03316661321
865	0.0331140407
866	0.03309426483
867	0.03304964333
868	0.03300514922
869	0.03295307402
870	0.03291089949
871	0.03286677501
872	0.03282277579
873	0.03277126054
874	0.03271990289
875	0.03269143045
876	0.03266456547
877	0.03262107803
878	0.03258726375
879	0.03254599382
880	0.03249531243
881	0.03245427333
882	0.0324038682
883	0.03235361573
884	0.03230351523
885	0.03226096849
886	0.03221114871
887	0.03217080051
888	0.0321305565
889	0.03209774517
890	0.03204841122
891	0.03200847177
892	0.03196668027
893	0.0319399407
894	0.03191277785
895	0.03188709878
896	0.03184560597
897	0.03180616136
898	0.03176681749
899	0.03171846091
900	0.03167024798
901	0.03162930614
902	0.03158135855
903	0.0315496493
904	0.03150193635
905	0.03145436423
906	0.03140693233
907	0.03136666895
908	0.03134044242
909	0.03130034222
910	0.03126035082
911	0.03121348793
912	0.03116676218
913	0.03112017299
914	0.03108937131
915	0.03104991936
916	0.03100367085
917	0.03097932077
918	0.03093327406
919	0.03089598641
920	0.03086561863
921	0.03081989891
922	0.03078968233
923	0.0307509708
924	0.03070558242
925	0.03066032488
926	0.03061519762
927	0.03058537887
928	0.03055562251
929	0.03052592833
930	0.03048118432
931	0.0304432472
932	0.03039874065
933	0.03035436121
934	0.03031010833
935	0.0302659815
936	0.03023024275
937	0.03019459118
938	0.03017674715
939	0.03014122605
940	0.03012345926
941	0.03008637889
942	0.03004287756
943	0.02999949915
944	0.02995624314
945	0.02992769191
946	0.02989274225
947	0.02984978431
948	0.02980694703
949	0.02976422992
950	0.02972802079
951	0.02968552545
952	0.02964314887
953	0.02960883939
954	0.02956667509
955	0.02952462818
956	0.02948269818
957	0.0294408846
958	0.02939918697
959	0.02935760481
960	0.02931613765
961	0.02927478502
962	0.02924749487
963	0.02920633071
964	0.02917299707
965	0.02913203632
966	0.02909118805
967	0.02905045181
968	0.02901746557
969	0.02898302218
970	0.02894866562
971	0.02890831903
972	0.02887564329
973	0.02884153928
974	0.02880148365
975	0.02876755841
976	0.0287351888
977	0.02870289455
978	0.0286632128
979	0.02862363838
980	0.02858417086
981	0.02855074649
982	0.02852478232
983	0.02850286822
984	0.02846372327
985	0.02843202506
986	0.02839306898
987	0.02835421737
988	0.02832131578
989	0.02828265687
990	0.02826110865
991	0.02822260783
992	0.02819143306
993	0.02815311656
994	0.02813852582
995	0.02810034824
996	0.02806227206
997	0.02802429688
998	0.02800984387
999	0.02797200575
